remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:32:11 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MagneMotion,msg_terminus_cmd_timeout_count,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,nc_operational,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,No_of_Pallets,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,p,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,pal,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,PalletsatCleanout,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Pallets_In_System,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Pallets_In_System_Minus1,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Pallets_In_System_Minus2,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,path,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,paths_done_with_cmd,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,pause_pallets,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,previous_hlc_heartbeat,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Recovering_Pallets,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Reset_Magnemotion_Pallets,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Reset_Magnemotion_Pallets_PB,"","BOOL","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,resume_pallets,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,s,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Send_mold1,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
